datetime,river discharge,Name,day,month,year,Tempmax,Tempmin,Temp,Humidity,Precip,Preciprob,Precipcover,preciptype,Windspeed,Winddir,Sealevelpressure,Cloudcover,Severrisk,Moonphase
11/01/2020,139.93,Lagos,11,1,2020,34,26.9,29,84,0.6,100,4.17,rain,20.5,218.5,1013.3,46.9,,0.52
14/01/2020,139.93,Lagos,14,1,2020,35,26,29.4,83.3,1,100,4.17,rain,20.4,273.4,1010.1,52.3,,0.63
03/03/2020,146.91,Lagos,3,3,2020,33,23,27.8,82.8,10,100,8.33,rain,27.7,202.3,1013.2,42.7,,0.29
06/03/2020,178.89,Lagos,6,3,2020,35,24.8,28.6,84.4,3,100,4.17,rain,25.9,259.4,1010.3,59.2,,0.39
09/03/2020,213.29,Lagos,9,3,2020,33,26.6,29.6,81.3,0.4,100,12.5,rain,24.4,223.8,1010.1,43.7,,0.5
11/03/2020,194.43,Lagos,11,3,2020,35,27.8,30.3,81.4,2.1,100,25,rain,31.7,232.2,1009.5,55.1,,0.56
12/03/2020,183.08,Lagos,12,3,2020,35,24.9,28.7,82,6,100,4.17,rain,15.9,222.1,1009.9,55.2,,0.59
13/03/2020,174.39,Lagos,13,3,2020,35,27,29.9,80.2,1.9,100,25,rain,20.1,216.3,1009.9,60.8,,0.63
14/03/2020,169.22,Lagos,14,3,2020,33.1,25.2,28.7,83.5,12,100,4.17,rain,14.8,254,1010.6,50.6,,0.66
15/03/2020,164.96,Lagos,15,3,2020,34,26.2,29.6,81.5,0.1,100,4.17,rain,22.3,232.4,1010.1,47.9,,0.7
21/03/2020,140.91,Lagos,21,3,2020,34.1,27,29.5,82.4,0.1,100,4.17,rain,31.7,224.3,1010.5,63.1,,0.9
23/03/2020,137.36,Lagos,23,3,2020,31,27,28.7,85,1,100,8.33,rain,17.3,256.9,1011,56.1,,0.97
24/03/2020,145.22,Lagos,24,3,2020,29,23,26.1,87.8,14,100,8.33,rain,13,269.8,1012,45.5,,0
01/04/2020,148.62,Lagos,1,4,2020,33,24.8,28,82.8,9,100,4.17,rain,27.7,185.4,1010.8,46.2,,0.25
