date,latitude,longitude,tp
2022-09-18,27.25,89.75,3.1571835e-06
2023-09-08,14.0,71.75,0.00054709986
2024-04-06,28.0,82.75,-1.8626451e-09
2020-01-17,11.5,84.0,0.00010866113
2022-03-16,30.0,95.5,-1.8626451e-09
2024-05-16,33.5,89.0,1.1369586e-05
2022-09-06,35.0,90.5,5.2435324e-05
2024-07-12,11.75,71.0,0.00027986616
2021-08-08,10.25,86.25,1.5793368e-05
2020-07-05,13.75,71.5,0.00014846213
2022-02-12,12.0,88.0,-1.8626451e-09
2022-07-16,27.0,95.5,0.00037589483
2021-03-01,9.5,96.5,-1.8626451e-09
2024-05-11,35.0,81.0,-1.8626451e-09
2023-08-01,33.0,94.0,0.00012003258
2024-02-16,33.75,73.5,-1.8626451e-09
2021-09-24,36.0,78.75,6.314367e-07
2020-04-30,17.5,90.5,-1.8626451e-09
2023-06-22,8.0,78.5,-1.8626451e-09
2020-10-07,14.75,71.0,8.0863014e-05
2022-05-19,21.5,86.0,3.1571835e-06
2021-02-01,25.5,77.75,-1.8626451e-09
2020-06-29,10.5,73.0,0.00013645738
2023-10-02,32.5,83.5,-1.8626451e-09
2022-09-12,12.0,83.75,0.00015667453
2023-08-18,22.75,72.25,1.1369586e-05
2023-06-19,10.75,91.25,6.3175336e-05
2020-03-29,10.5,68.25,-1.8626451e-09
2022-12-27,9.25,73.25,0.0010651406
2021-06-30,15.0,74.0,4.9276277e-05
2023-05-31,33.0,75.5,0.0013298467
2022-05-09,27.0,90.5,-1.8626451e-09
2023-04-10,10.25,69.5,-1.8626451e-09
2020-05-12,21.25,91.5,1.8943101e-06
2023-01-29,9.25,80.5,6.3175336e-05
2020-09-07,18.25,89.75,0.000189526
2022-01-07,8.0,91.75,2.3374334e-05
2020-04-05,31.0,92.0,0.00029629283
2021-09-24,30.5,78.25,0.00014530309
2021-08-14,29.25,95.75,0.0012698304
2022-08-28,24.5,95.25,5.3698197e-05
2023-09-13,35.25,91.0,-1.8626451e-09
2023-05-16,27.25,75.5,-1.8626451e-09
2022-10-25,17.75,83.25,-1.8626451e-09
2022-02-07,17.0,71.75,6.314367e-07
2023-11-26,28.75,81.5,-1.8626451e-09
2022-05-18,26.25,71.0,-1.8626451e-09
2024-02-09,17.5,80.25,1.2628734e-06
2020-10-22,34.25,84.5,-1.8626451e-09
2024-02-24,32.0,72.75,-1.8626451e-09
2024-04-18,23.5,68.5,-1.8626451e-09
2022-09-01,20.0,76.25,-1.8626451e-09
2022-05-08,13.0,96.0,0.002916187
2024-06-13,8.0,96.5,-1.8626451e-09
2024-02-10,11.0,88.75,-1.8626451e-09
2021-10-02,27.0,74.25,-1.8626451e-09
2022-05-18,14.25,81.75,5.053915e-05
2021-06-15,22.5,92.0,7.707253e-05
2024-01-27,29.25,88.0,-1.8626451e-09
2021-01-31,32.5,68.5,-1.8626451e-09
2021-12-05,26.75,75.5,-1.8626451e-09
2024-08-02,9.0,78.25,-1.8626451e-09
2023-08-26,28.5,75.75,-1.8626451e-09
2021-06-18,24.25,90.25,0.0005224608
2024-03-05,30.25,73.0,-1.8626451e-09
2022-06-08,36.25,92.5,-1.8626451e-09
2020-09-18,33.0,76.5,5.684793e-06
2022-11-11,26.5,83.75,-1.8626451e-09
2023-08-24,12.5,72.0,8.844398e-05
2024-04-04,28.5,81.5,-1.8626451e-09
2023-08-15,26.5,84.25,1.2628734e-06
2021-03-25,21.75,72.0,-1.8626451e-09
2021-02-21,10.75,85.5,0.00025270134
2020-07-12,8.0,90.75,6.886013e-05
2024-04-13,11.25,81.0,9.475276e-06
2022-09-11,35.0,80.5,1.8319115e-05
2022-10-26,23.75,87.25,-1.8626451e-09
2023-01-10,22.75,71.5,-1.8626451e-09
2023-04-15,35.5,76.5,-1.8626451e-09
2022-06-03,21.5,70.0,-1.8626451e-09
2020-12-15,30.5,75.5,-1.8626451e-09
2020-11-27,17.5,90.5,-1.8626451e-09
2024-03-22,14.25,83.25,9.4130635e-05
2022-07-15,30.5,73.0,-1.8626451e-09
2022-04-03,22.0,89.25,-1.8626451e-09
2022-07-30,9.5,86.75,0.0005938504
2024-04-19,12.25,95.0,6.314367e-07
2022-02-22,8.0,75.25,8.843839e-06
2024-03-01,11.5,85.0,-1.8626451e-09
2021-10-20,22.0,79.75,-1.8626451e-09
2022-07-19,22.75,82.0,2.653338e-05
2022-02-21,35.5,79.0,-1.8626451e-09
2020-04-16,14.25,76.0,3.7886202e-06
2024-03-13,21.75,72.0,-1.8626451e-09
2023-06-08,14.0,84.5,-1.8626451e-09
2022-12-20,24.0,90.75,-1.8626451e-09
2023-08-21,19.0,92.0,1.8319115e-05
2021-01-21,15.75,79.0,-1.8626451e-09
2023-08-17,13.0,75.75,6.314367e-07
2022-08-11,35.25,87.75,-1.8626451e-09
2023-11-09,28.25,84.25,-1.8626451e-09
2024-03-04,30.25,87.25,-1.8626451e-09
2020-03-19,18.0,88.25,-1.8626451e-09
2020-11-11,25.0,69.0,-1.8626451e-09
2021-09-20,27.25,90.5,-1.8626451e-09
2021-06-26,35.5,87.5,9.475276e-06
2023-07-20,18.25,88.0,0.0025794618
2021-12-25,16.0,86.25,-1.8626451e-09
2020-01-09,12.25,73.25,0.0001813136
2020-12-13,30.75,89.75,-1.8626451e-09
2020-07-14,35.25,87.0,-1.8626451e-09
2023-05-01,20.0,75.5,-1.8626451e-09
2024-03-17,26.5,92.75,-1.8626451e-09
2021-07-30,28.0,78.5,0.0017537549
2023-12-11,19.5,86.25,1.2628734e-06
2023-06-03,19.75,94.75,-1.8626451e-09
2021-12-30,21.0,86.25,-1.8626451e-09
2022-12-03,14.0,91.25,1.6424805e-05
2021-06-20,11.75,77.75,-1.8626451e-09
2021-03-25,28.0,75.0,-1.8626451e-09
2022-06-28,21.75,86.25,3.7886202e-06
2022-10-01,34.0,83.0,1.8943101e-06
2022-09-18,22.5,93.0,-1.8626451e-09
2021-10-16,12.5,84.25,0.0005900599
2021-10-13,18.0,72.5,0.00012508593
2023-03-24,14.0,92.5,-1.8626451e-09
2022-09-17,26.75,71.75,-1.8626451e-09
2023-08-09,16.0,87.25,-1.8626451e-09
2022-06-28,12.25,78.25,-1.8626451e-09
2021-11-27,23.25,88.5,-1.8626451e-09
2020-10-02,19.25,85.0,0.0006406009
2023-08-07,11.25,88.5,3.537722e-05
2023-09-13,15.0,72.75,0.00019142032
2020-06-30,26.5,80.0,-1.8626451e-09
2020-02-21,28.5,68.0,-1.8626451e-09
2022-04-23,25.0,80.0,-1.8626451e-09
2020-03-08,25.0,71.0,-1.8626451e-09
2024-01-11,28.5,96.75,-1.8626451e-09
2021-03-08,29.5,95.75,1.2634322e-05
2021-02-11,24.75,76.0,-1.8626451e-09
2023-05-02,32.5,69.25,5.0533563e-06
2021-12-24,13.5,88.75,-1.8626451e-09
2022-03-15,26.25,83.75,-1.8626451e-09
2022-07-09,19.75,69.25,4.5485795e-05
2020-08-22,17.5,95.5,1.2628734e-06
2024-03-13,27.25,96.25,7.579103e-06
2021-09-22,34.0,96.75,0.00010802969
2020-09-12,11.75,78.75,0.00032787956
2024-08-01,17.75,74.75,6.314367e-07
2023-12-28,10.0,91.75,-1.8626451e-09
2020-04-01,10.0,76.75,-1.8626451e-09
2020-09-06,25.5,91.75,0.00020342506
2020-04-19,28.75,95.25,0.0036401805
2021-10-09,27.0,73.0,-1.8626451e-09
2022-01-06,24.25,94.0,-1.8626451e-09
2024-06-11,35.0,91.5,1.2628734e-06
2023-08-12,21.5,87.0,3.1571835e-06
2020-01-18,27.25,89.75,0.0001244545
2022-09-03,12.5,86.75,0.0011877008
2022-02-01,36.5,88.25,1.8950552e-05
2023-06-22,18.75,92.0,0.001076512
2022-01-20,19.0,91.25,-1.8626451e-09
2022-04-18,36.5,73.25,-1.8626451e-09
2021-10-06,33.25,86.5,-1.8626451e-09
2022-01-24,19.0,85.5,0.00042769872
2023-11-08,18.25,73.5,3.790483e-05
2020-07-28,12.75,94.75,0.0005066674
2021-06-21,19.5,72.25,0.00020216033
2023-02-20,21.75,70.0,-1.8626451e-09
2020-05-04,11.25,76.75,-1.8626451e-09
2020-06-12,36.75,93.25,-1.8626451e-09
2021-08-25,9.0,81.25,-1.8626451e-09
2022-10-22,34.25,78.75,4.4219196e-06
2021-11-09,22.75,92.0,-1.8626451e-09
2021-04-22,22.5,97.0,-1.8626451e-09
2020-05-19,12.0,75.5,4.4219196e-06
2023-10-09,22.0,80.0,-1.8626451e-09
2024-07-09,23.75,95.75,7.707253e-05
2020-02-23,13.5,90.75,-1.8626451e-09
2022-11-30,31.75,83.0,3.1571835e-06
2022-09-05,12.0,92.25,0.00016678311
2022-09-19,31.75,72.0,-1.8626451e-09
2021-03-08,24.5,80.0,-1.8626451e-09
2022-07-25,20.75,91.0,0.00049087405
2022-09-02,20.75,86.5,-1.8626451e-09
2020-03-15,22.5,92.5,-1.8626451e-09
2020-07-17,13.5,76.5,1.6424805e-05
2022-05-30,36.0,69.25,-1.8626451e-09
2020-06-14,8.75,83.25,-1.8626451e-09
2022-06-17,35.5,72.5,-1.8626451e-09
2020-09-07,21.75,69.0,-1.8626451e-09
2022-05-04,14.25,72.25,-1.8626451e-09
2022-10-09,34.75,78.5,9.475276e-06
